fen,evaluation
1rbqkbnr/ppp1pppp/n2p4/8/P7/5P2/2PPP1PP/RNBQKBNR,-135
rn1qk2r/2pp2p1/pp1b1nNp/2B2p2/8/3P2P1/PPP1PPbP/RN1QKBR1,322
rnbqkbnr/p2p2pp/5p2/1pp1p1N1/7P/8/PPPPPPP1/RNBQKB1R,-323
rnb1kb1r/pp1ppp1p/8/2p2np1/2P4P/Nq2P3/PP1PKPP1/R1BQ1BNR,-69
r1bqkb1r/ppppp1pp/n4p1n/8/P5P1/1P6/2PPPP1P/RNBQKBNR,-128
rnb1q2r/pppk1p2/4pnpp/2Pp4/3P2PP/bPK5/P3PP2/RNBQ1BNR,290
rnbqkbnr/p1pp1p1p/1p2p3/6p1/8/3P1N1P/PPPKPPP1/RNBQ1B1R,-52
rnbqkbnr/1p1pp3/2p2pPp/p7/6P1/2N5/PPPPPP1R/R1BQKBN1,209
rn1qkbnr/p1ppp1p1/Q4p1p/1p1b4/1P6/2P2N1P/P2PPPP1/RNB1KB1R,-677
rnbqkbnr/ppp1ppp1/3p4/7p/1P6/7P/PBPPPPP1/RN1QKBNR,32
rnb1kbnr/pp1p1pp1/1qp5/4P3/7p/3PP3/PPPB2PP/RN1QKBNR,188
r1bqkbnr/1ppnp3/p2p1p2/6pP/8/PPN5/R1PPPP1P/2BQKBNR,82
r1b1q1nr/pppp1pk1/B3p2b/6NP/5P2/P3P3/1PPP3P/RNBQK2R,554
1nbqk1nr/rp1pp2p/p1p3p1/6b1/2N1p3/1P4PN/PBPPPP1P/R2Q1RK1,-448
rnbqkb1r/1pppnppp/p7/4p3/8/1P3P2/PBPPP1PP/RN1QKBNR,0
1nbqkbnr/4ppp1/3p3p/rpP5/p1P5/5N2/PP2PPPP/RNBKQB1R,174
rn1qkb1r/p1p2ppp/1p1p1n2/5p1P/8/1P6/P1PPP1bR/RNBQKBN1,233
rnbqkbnr/1p2p1pp/2p2p2/p2p2P1/2P5/3P4/PP2PP1P/RNBQKBNR,-18
r1bqkbn1/p2pppp1/np5r/5P1p/P1p1N3/6PN/1PPPP2P/R1BQKB1R,137
rnbqkb1r/pppp2p1/2B4n/4pp2/6p1/2P4P/PP1PPP2/RNBQK1NR,-603
rnb1kb1r/pp1ppppp/8/2p5/4n2P/1Pq1PPP1/P1PP2B1/RNBQK1NR,715
rnbqkbnr/p2ppp1p/6p1/1pp5/P7/1QP2N1P/1P1PPPP1/RNB1KB1R,91
rn1qkb1r/pbp1p1pp/7n/1p1p1p2/2P1P3/3B1P1P/PP1P2P1/RNBQK1NR,79
2rqkb1r/p1pnpppp/1p1p3n/8/B2PP3/1b3KP1/PPP2P1P/RNBQ2NR,644
rnb1kb1r/pp1ppp1p/1q3n2/2p3p1/8/1PPP4/P1QNPPPP/R1B1KBNR,-34
rnb1k3/1p1pqp2/p1pb1npr/B3p1Np/P1P2PP1/3P4/RP2P2P/1N1QKB1R,-279
r1bqkbnr/pppp1p1p/n7/4p1p1/8/2PP4/PPQBPPPP/RN2KBNR,51
rnb1kbnr/1p1pp1pp/5p2/pPp5/q6P/B2P4/P1P1PPP1/RN1QKBNR,51
rnbqkb1r/ppp1p1pp/3p3n/5p2/5P2/P6P/1PPPP1P1/RNBQKBNR,-16
r1bqkbnr/1ppppppp/8/p7/1nP5/P2P4/1P2PPPP/RNBQKBNR,510
rnbk2nr/pp1p1ppp/2pN4/4p3/7P/b6N/PPPPPKP1/R1BQ1B1R,934
r1bq1b1r/ppppkp2/2n2npp/4p3/P1QP2P1/4P3/1PP1NP1P/RNB1KB1R,-190
rnq1kb1r/1bpp2pp/1p2pp1n/p7/6PP/PP1PB2N/2P1PP2/RN1QKB2,-495
1rb2br1/p1q1kppp/n1p2n2/1p1pp3/1PPP2P1/7N/P2BPPRP/RN1QKB2,85
1nbqk2r/3pppbp/rpp2np1/p7/P1P5/1PN4P/3PPPPR/1RBQKBN1,-24
rnbqkb1r/p1ppp1p1/1p3n2/1B5p/4Pp2/PP1P3N/2P2PPP/RNB1KQ1R,-62
rnbqkbnr/pppp1pp1/4p3/7p/3PP3/P7/1PP2PPP/RNBQKBNR,82
rnbqkb1r/pppp1ppp/5n2/4p3/5PP1/2P5/PP1PP2P/RNBQKBNR,-420
rnbqkbnr/2ppp1pp/p7/1p3p2/1P6/P3P3/2PPNPPP/RNBQKB1R,40
rn1qkb1r/2p1pppp/p2p3n/1p3b2/5PP1/PP5N/2PPPK1P/RNBQ1B1R,-261
rnb1kbnr/pp2p3/2Pq1p2/3p2pp/7P/N4P1N/PPP1P1PR/R1BQKB2,-317
1rbqk3/ppppp1br/n4ppn/8/1PP4P/4P2R/P2P1PP1/RNB1KBN1,-711
rnbqkbnr/p1pppp2/8/6pp/Pp1P4/4K3/1PP1PPPP/RNB1QBNR,-238
rn1q1knr/2p1pp1p/p2p4/1p4p1/P5b1/3PP2N/NPPK1PPP/R1B1QB1R,612
rn1qkbnr/1bpppp1p/p7/1p3Qp1/2P5/6PN/PP1PPPBP/RNB1K2R,-408
rnbqk2r/3p3p/p1p3Pn/1p2p3/1b5P/P1P1P2N/1P1P1P2/RNBQKB1R,595
r1bqkbnr/1pn1p1p1/p1pp4/5p1p/4P3/PPNB1N2/2PP1PPP/R1BQK1R1,183
r1bqkb1r/2ppppp1/2n4n/pP5p/p2P2P1/7N/2PBPP1P/RN1QKB1R,-173
r2qkbnr/1ppbp1pp/B1n5/p3Np1P/8/2p1PR2/PP1P1PP1/RNBQK3,-500
2bqkbnr/2pnp3/r5p1/1p1p1p1p/p3PPP1/P1P4P/1P1PQK1N/RNB2B1R,-383
rnb2knr/ppppbpp1/4p3/3q4/3P3p/2N2P1P/PPPQP1P1/2R1KBNR,-561
r1kq1bnr/p3p2B/nppp1p2/6p1/1PP3PP/4P3/P1QP1Pb1/RNB1K1NR,325
rnb1qb1r/1pppk2p/4p2n/5p2/Pp1B2P1/2P5/3PPP1P/RNQ1KBNR,-38
r1bqkbnr/1ppp1pp1/p1n4p/1B2p3/8/3PP2N/PPP2PPP/RNBQK2R,-72
rnbqk1nr/1ppp2p1/p7/4pp1p/P4PP1/bPP5/3PP2P/RNBQKBNR,-53
rnbq1bnr/pppppkp1/5p2/7p/3N4/1PP3PP/P2PPP2/RNBQKB1R,3
rnbq3r/pp1kp1b1/5npp/Q1pp1p2/P1PP4/4BP2/RP2P1PP/1N2KBNR,-58
r1bqkbnr/2pp4/ppn2pp1/4p1Pp/4P3/3P4/PPP2P1P/RNBKQBNR,48
rnbqkbnr/pppp2pp/4p3/5p2/1P6/4P2P/P1PP1PP1/RNBQKBNR,-121
rnbqkbnr/pp2pppp/3p4/2p5/4P1P1/5Q2/PPPP1P1P/RNB1KBNR,-86
rn1q1knr/1p2bppp/1N2b3/p1p5/1P1p4/P2BP1P1/2PP1P1P/RNBQK2R,-490
r2qkb1r/p1p1pppN/np1p3n/8/5Pb1/NP6/P1PPP1PP/R1BQKB1R,65
rnb1k2r/4ppbp/2ppQ2n/qp4p1/R7/2P4P/1P1PPPP1/1NB1KBNR,-619
rnbqkb1r/ppppp2p/5pp1/1B5P/P4P2/Nn2P3/1PP1Q1P1/R1B1K1NR,-82
r1bqkbnr/pppp2pp/2n5/4pp2/1P4P1/8/P1PPPP1P/RNBQKBNR,-136
rnbq1b1r/ppppk1pp/4p2n/5p2/N2P4/P7/RPP1PPPP/2BQKBNR,29
r1bqkb1r/pp1p2pp/2p1pp1n/8/4P3/2NN1PP1/PPPP3P/R1BQKB1R,522
rnbqkb1r/pppp1pp1/5n1p/8/5pP1/2N4B/PPPPP2P/R1BQ1KNR,-332
r1b1qbnr/p1pp2pp/np1k4/2B1pp2/5P1P/2NP3R/PPP1P1P1/R1Q1KBN1,-273
rnbqkbnr/p1p1pp1p/6p1/1p1p4/1PP5/P3P3/3P1PPP/RNBQKBNR,-158
rnbqk1r1/p2ppp1p/2p4b/1p4pn/P2P3P/2N1P3/1PP2PP1/1RBQKBNR,636
rnbqkbnr/ppppppp1/8/7p/6PP/2N5/PPPPPP2/R1BQKBNR,-105
rnbqk1nr/1p5p/2p2ppB/p2pp3/1b1P1PPP/P7/R1PQP1B1/1N2K1NR,-795
rnbqkb1r/1ppp1p1p/p6n/4p1p1/1P3PP1/B2P3N/P1P1P2P/RN1QKB1R,-160
rnbqkbnr/p4ppp/2ppp3/1p6/5PP1/8/PPPPPN1P/RNBQKB1R,39
r1bqk1n1/p1npppb1/1pp3p1/3P2B1/1P5p/N1P2N2/P3PPPP/R2QKB1R,326
rnbqk1nr/pppp1p1p/4p3/6p1/8/b1P1P2P/PP1P1PP1/RNBQKBNR,614
rnb1kbn1/ppqpp1pr/2p4p/1P3p2/Q7/2P4N/P2PPPPP/RNB1KBR1,-96
rnbqkbnr/pp1ppp2/2p4p/6p1/2P1P3/5N1P/PP1P1PP1/RNBQKB1R,178
r1bqkbn1/1ppppp2/p1n4r/6N1/2P3Pp/1P3P2/P2PP2P/RNBQKBR1,220
r1bq1bnr/ppppk1p1/7p/2n1pp1P/P7/3P2P1/1PPNPP2/R1BQKBNR,253
rn1qkr2/1b1p1ppp/pp2pn2/2P5/P1PB4/N4Nb1/3PPPPP/R2QKBR1,505
rnbqkb1r/1ppp1ppp/8/p3p3/P2PnP2/2N1B1PB/1PP1P2P/R2QK1NR,-25
r2qkbnr/pb1ppp2/n1p1N2p/1p6/1P3P2/P2P4/R1PQP1PP/1NB1KBR1,689
rn1qkbnr/pb1ppppp/1p6/P1p5/8/2N2N2/1PPPPPPP/R1BQKB1R,-24
rnbqkbnr/p2ppppp/1pp5/8/5P2/2P4N/PP1PP1PP/RNBQKB1R,9
rn2kb1r/pbppqp1p/4p3/1pP3pn/P4P1P/3P2PB/1PQ1P3/RNB1K1NR,-436
rnbqkb1r/1pp1pppp/3p4/p7/2PPP3/4B2P/PP3PP1/RN1QKBNR,582
r1b1kb1r/pp1p1p1p/2nq2pn/2p1p3/3PNPP1/7N/PPP1P2P/R2QKB1R,-496
rnb1kb1r/1p1pp1pp/1qp2p1n/p7/5P2/4P1P1/PPPP1K1P/RNBQ1BNR,17
r1bqkbnr/p1pp1pp1/1p2p3/2P4P/7P/1n1P4/PP2PP2/RNBQKBNR,368
1r1qkbnr/ppn1ppp1/2p4p/P2p4/7P/1P4Pb/2PPPP2/RNBQKBNR,578
rnb1kbnr/1p3p2/p5p1/2ppp1q1/3PP2p/3K1P1P/PPPN2P1/R1B1QBNR,-134
r1bqkbnr/pp1p1pp1/8/1Bp1p2p/1n1P4/4P2P/PPP1QPP1/RNBK2NR,65
r2qkbnr/p1p2ppp/np2p3/1PPp4/8/5N1b/P2PPPPP/RNBQKB1R,479
1n1qkb1r/r3pppp/pNp2n2/1p1p4/1P1P2b1/P1P5/R2NPPPP/2BQKB1R,-394
rnbqkr2/ppppp1bp/5p1n/6P1/8/P2P1P2/1PP1P1P1/RNBQKBNR,531
r1bqkb1r/1p1p1ppp/n1p2n2/p3P3/6P1/2P4P/PP1PP2R/RNBQKBN1,-35
rnbqk2r/1p1pppbp/7n/p1p5/2P1P1p1/N1Q2P2/PP1P2PP/R1B1KBNR,-441
rnbqk1nr/p1ppb1p1/1p1Bp2p/5p2/2P5/1P3P2/P2PP1PP/RN1QKBNR,-37
r1bqkbr1/ppppp1pp/n7/1B3p2/4P1n1/PQP5/1P1P1PPP/RNB2KNR,181
rnbqkb1r/ppp1p1pp/7n/1P1p1p2/3P4/N7/P1PQPPPP/1RB1KBNR,-15
rnb1kbnr/ppp2p2/3pp1pp/8/1P2q3/P7/2PPPPPR/1RBQKBN1,-439
rnbqkbnr/1pp1pp2/p7/3P2pp/1P6/6PN/P2PPP1P/RNBQKB1R,-2
rnb1kb1r/pp2pppp/2p4n/1Pqp1P2/2P5/5NP1/P2PP2P/RNBQKB1R,99
r1bqk1nr/1p1p2p1/1Bp1p2p/p4p2/3P2P1/b7/nPP1PP1P/RN1QKBNR,616
r1bnkbnr/p1qpppp1/1p6/2p4p/P1B5/3PP2N/1PP2PPP/RNBQK2R,68
rnbqkbnr/1ppp1p1p/p3p1p1/8/4P3/Q7/PPPP1PPP/RNB1KBNR,-59
rnbk1bnr/ppqppp1p/6p1/2p5/3P2P1/2P1PP1P/PP2N3/RNBQKBR1,116
rn1qkb1r/pb1ppppp/5n2/1ppN4/1P4P1/8/P1PPPPBP/R1BQK1NR,-455
r2qkb1r/ppp1ppp1/n4n1p/3p4/1P1P2b1/3BP3/P1P2PPP/RNBQK1NR,57
rn3bnr/pp1qkppp/2ppp3/8/5P2/NP1P3b/P1P1P1P1/R1BQKBNR,-73
r1bqkb1r/ppppp1pp/3n3n/8/5p1P/2N1R3/PPPPPPP1/R1BQKBN1,-465
rnbqkbn1/pp1pppp1/7r/2p4p/4P3/P2B4/RPPP1PPP/1NBQK1NR,-92
rnbqkbnr/p2ppppp/1p6/2p5/4P3/5N1P/PPPP1PPR/RNBQKB2,38
rn1q1bnr/Np2k1pp/p1p5/3pp3/5p1P/1P1P2Pb/PBP1PP2/R2QKBNR,303
rnbq2nr/p1pp3p/4kp2/1pb1p3/P2P2P1/7B/RPP1PP1P/1NBQK1NR,333
rn1qkbnr/p1p1p2p/4bpp1/1p1p4/1P6/2P1PP1N/P2P1KPP/RNBQ1B1R,-11
r1bqk1nr/pppp1ppp/4p2B/2n5/3P2PP/b7/PPP1PP2/RN1QKBNR,-15
rnb1k1nr/p2p2p1/1pp1pp2/qBb4p/P4P2/1P2PN2/R1PP2PP/1NBQK2R,-339
rnbqkbnr/2pppppp/pp6/8/3PP3/N7/PPP2PPP/R1BQKBNR,52
r1bqkbr1/ppp1p1pp/n6n/3p1p2/1P2PP2/2PB4/P2P1KPP/RNBQ2NR,90
1nbqkb1r/r1pppnpp/p7/1p3p2/4PP2/2PB3P/PP1P2P1/RNBQK1NR,153
r1b1kb1r/pppp1ppp/2n1p1q1/8/P2P2nP/1P1Q4/2P1PPP1/RNB1KBNR,0
rn1qkbnr/1p4pp/p1p1bp2/3P4/5PP1/1Q6/PP1PP2P/RNB1KB1R,-479
r1b1kb1r/p1N1Bppp/1pn4n/3p4/1P6/3P1PP1/P1P1P1qP/R2QKBNR,626
r1bqkb1r/p3pp1p/1p1p1npP/2p1n3/2N4R/1PP5/P2PPPP1/R1BQKBN1,12
2b1kbnr/2ppqppp/r1n1p3/1Q6/8/2P2N1P/PP1PPPP1/RNB1KB1R,270
1Bbqkbnr/rp1pp1p1/p7/2p2p1p/P2N4/3P4/1PP1PPPP/R2QKBNR,163
rn1qkbnr/pbppp2p/6p1/5p2/Pp3N2/6P1/RPPPPP1P/1NBQK1RB,-96
rnbqkbnr/p1p2p1p/1p2p1p1/3p4/1P6/7P/PBPPPPP1/RN1QKBNR,436
rnbq1knr/3p2bp/ppp5/5pp1/2P1p2P/P4PP1/1P1PPK1R/RNB1QBN1,95
r1bqkbnr/1pp1p1pp/p4p2/3p4/1Pn3P1/N2P4/P1PBPP1P/R2QKBNR,303
rnq1kbnr/1bp1p2p/1p3p2/p1Pp2p1/1P5P/P2P4/2QBPPP1/RN2KBNR,-67
rnbqkbnr/pp1pppp1/2p4p/8/3N4/N7/PPPPPPPP/R1BQKB1R,-149
r1bqkbnr/p4ppp/2npp2B/2p3N1/1p3PP1/1P1PP3/P1P3BP/RN1QK2R,-358
rnbqkb1r/1pp1pppp/p4n2/8/P2pP3/N4N2/1PPP1PPP/R1BQKB1R,106
rnbqkb1r/ppp1np2/3pp1pp/8/1Q2N3/3P1P1P/PPP1P1P1/R1B1KBNR,9999
r1bqkbnr/pppp2pp/n3p3/8/5p1P/2P2N2/PPQPPPP1/RNB1KB1R,246
r2qkbnr/1pp1p1p1/p1n2p2/7p/1P1p4/P4N1P/2PPPPPR/RNBQKB2,383
rnbqkbn1/1p1ppppr/p6p/2p2P2/3P3P/2P1B3/PP2P1P1/RN1QKBNR,91
rnbqkbnr/2pp1ppp/8/pp2p3/1P1PP3/3Q4/P1P1NPPP/R1B1KBNR,102
r1bqk1nr/pppppp2/2B2b1p/6p1/PP2P2P/N7/1PQP1PP1/R1B1K1NR,80
rnbqkbnr/pp3p2/2pp4/4p1pp/1QPN4/N5P1/PP1PPP1P/R1B1KB1R,-73
2bqk1n1/rp1p2pr/2nb3p/p1pPpp2/2P2B2/1Q4PN/PP1NPP1P/2KR1B1R,231
rnbqkbnr/p1pppppp/8/8/1p1P1P2/2P5/PP2P1PP/RNBQKBNR,38
r1bq1bnr/ppp1pk1p/n2p4/4Pp2/Q6P/N1P2pPR/PP1P1P2/R1B1KB2,-295
rnbqkb1r/1ppp1ppp/B3p3/p2n4/8/4PQ1N/PPPP1PPP/RNB1K1R1,-624
rn1qkbnr/pbpppp2/6p1/1p5p/P6P/8/1PPPPPPN/RNBQKB1R,47
rnbqk2r/1ppp2p1/5P2/p3p2p/Pb4n1/BP3P1P/2PPK1P1/RN1Q1BNR,-182
rnbqkbnr/p1pp1ppp/1p6/4p3/1P6/N6P/P1PPPPP1/R1BQKBNR,-218
rn2kbnr/2ppqpp1/pp2p2p/8/PP1P4/R1P5/4PPbP/1NBQKBNR,502
r1b1kbnr/pppqpp2/n2p3p/6p1/1P1P4/N7/P1PKPPPP/R1BQ1BNR,-150
rnb1kbnr/pp1p1ppp/4q3/2p1p3/4P3/2Q5/PPPPBPPP/RNB1K1NR,71
rnb1kbnr/pp1ppp2/3q4/2p3pp/P6P/NP5N/1BPPPPP1/R2QKB1R,347
r1bqkbnr/pppp2p1/5p1p/2n5/1PP1pQ2/2N5/P2PPPPP/R1B1KBNR,101
rnbq2nr/pp1pkp2/2p1pb2/P6p/4Pp2/1P1P4/2PNQPPP/R1B1KB1R,-508
r2qkbnr/2p1p2p/b1n3p1/pN1p1p2/1P3P2/4P2N/P1PPB1PP/R1BQ1K1R,-24
1rbqkb1r/pppppppp/7n/4n3/1P2PP1P/P5P1/2PP4/RNBQKBNR,428
rnbqk1nr/p2p2p1/2pb3p/1p2pp2/7P/4P1P1/PPPPQP2/R1BNKBNR,152
r1bqkb2/2ppn1p1/n3p2r/ppP2p2/3P2P1/PP6/4PPB1/RNBQK1NR,558
1nbqkbnr/1ppppppp/8/p7/4P2r/PP6/1BPPKPPP/RN1Q1BNR,-259
rn1qkbnr/2p1p1pp/5p2/pp1p4/6bP/4P3/PPPP1PP1/RNBQKB1R,123
rnbqkb1r/ppp1p2p/5ppn/3p4/1P5P/2P3P1/P2PPP2/RNBQKBNR,-46
rn1qkbnr/p3p1p1/1p1p3p/5p2/b2PP3/Rp3PP1/2P4P/1NBQKBNR,578
r1bqk2r/pppppp1p/5n1b/6p1/3n2P1/2PP1P1N/PP1QP2P/RNB1KB1R,26
rn1qkbnr/p1pbp2p/1p3pp1/3p3P/8/1P1PPP2/P1PQ2P1/RNB1KBNR,200
rnbqkbr1/p1p1pppp/Q6n/1p1p4/5P2/3P2P1/PPP1P2P/R1BNKBNR,-694
r2q2nr/1bppkppp/n3p2B/pp6/Pb6/1PQP4/2P1PPPP/RN2KBNR,-829
rnbqkb1r/pppp1ppp/8/3np3/2P5/PP5N/R2PPPPP/1NBQKB1R,-27
rn1qkb1r/pp2pppp/4bn2/2pp1P2/1P4PP/1QP2N2/P2PP3/RNB1KB1R,-156
rnb2knr/pp2pp2/2p5/3p2pp/PPP3P1/4qP1P/1bQPP1B1/RNB2KNR,407
1nbqkb1r/r1ppp1pp/5p2/pp6/PP1N1PR1/R7/2PPP2P/1NBQKB2,438
1rb1k1n1/p1ppq1pr/1pn1p3/5p1p/3P3P/b1N5/PPP1PPPB/R2QKBNR,417
r1bqk2r/2Qp1ppp/1pn1pn2/2b5/5P2/2P5/PP1PP1PP/RNB1KBNR,235
1nb1kbnr/1pqpp1pp/4rp2/p1p5/1B6/N2P1N2/PPP1PPPP/R1Q1KB1R,188
r1b1kb1r/1p2q1pp/p1pp3n/n4p1P/8/1P1P4/P1P1PPP1/RN2KBNR,-849
rnbqkb1r/p1pp1ppp/5n2/1p2p3/PP6/6PN/2PPPP1P/RNBQKB1R,-85
rnbqkbnr/ppppp1p1/5p2/7p/3P4/P5P1/1PP1PP1P/RNBQKBNR,132
rnb1kbnr/pppp1pp1/4p2p/8/7q/3PB3/PPPQPPPP/RN2KBNR,28
1rb1k2r/pppp1p1p/n4q1n/2b1p1pP/4PP2/P6N/1PPP2PR/RNBQKB2,-372
rnb1kb1r/pp1p1pp1/7n/2p1p2N/PP6/4q2R/2PPPPPP/1NBQKBR1,630
r2qkb1r/1ppb1ppp/p2p3n/n3p3/3PPP2/1N5P/PPP2KP1/R1BQ1BNR,354
rnb1qb1r/pppppkp1/5p2/1N5p/5Pn1/7B/PPPPP2P/RNBQKR2,-258
rnb1kbnr/p1pp1ppp/1p2p3/6q1/1P4P1/P6B/2PPPP1P/RNBQK1NR,-273
r1bq1bnr/p2k1p1p/B2pp1p1/1p2P3/2p2P2/PP1P4/2P2KPP/RNBQ2NR,-34
r1bqkbnr/p1ppppp1/p1n5/8/2P1P2p/7P/PP1P1PP1/RNBQK1NR,-356
rnbqkbnr/2ppp1p1/p7/1p6/3Pp2p/7N/PPPBKPPP/RN1Q1BR1,-244
rn2kbnr/1bqpp2p/6p1/ppp2pB1/4N3/3P1P2/PPP1P1PP/1R1QKBNR,-132
rnbqkb1r/p1p1pppp/1p1p4/8/2P1PP2/2Q5/PP1P2Pn/RNB1KBNR,441
r1bq1knr/1pppb2p/2n1pp2/p4P2/P3P1p1/N5PP/1PPPK3/1RBQ1BNR,-172
r2qkbnr/pp1n1ppp/3p4/1Pp1p3/2P3P1/5P2/P2Pb2P/RNBQK1NR,-213
rnbqk2r/pppp1pb1/7p/4pnp1/1P6/2N2P2/P1PPP1PP/R1BQKBNR,-65
r1bqkbnr/p1ppppp1/2n4p/8/8/p1P2PP1/RP1PP2P/1NBQKBNR,-189
rnbqkbnr/1ppp1pp1/p6p/4p3/8/6P1/PPPPPP1P/RNBQKBNR,-29
rnbqkb1r/1p1p2pp/5p1n/p1p1p3/2P2P2/P5P1/RP1PP1BP/1NBQK1NR,118
1rbqkb1r/p1pppppp/np5n/8/4PP2/6PB/PPPP3P/RNBQK1NR,86
rnq1kbnr/2p1pp1p/p2p2pB/1p6/6P1/2NPPP2/PPP3b1/R2QKBNR,-379
r1bqkb1r/pppp3p/4pp1n/5np1/1PP4N/8/P1QPP1PP/RNB1KB1R,-106
rnbqk1nr/1ppp1ppp/8/p1b1p3/P5P1/2P4N/1P1PPP1P/RNBQKB1R,-177
rnbq2nr/pp1kppbp/6p1/2pP4/8/1P6/P2PPPPP/RNBQKBNR,113
rnb1kbnr/1ppp2pp/8/p3ppP1/8/2P5/PP1PPKPP/RNB1QBNR,734
